,date,unemployment
884,1983-12-17,362000.0
885,1983-12-24,377000.0
886,1983-12-31,372000.0
887,1984-01-07,356000.0
888,1984-01-14,351000.0
889,1984-01-21,333000.0
890,1984-01-28,364000.0
891,1984-02-04,342000.0
892,1984-02-11,338000.0
893,1984-02-18,334000.0
894,1984-02-25,343000.0
895,1984-03-03,347000.0
896,1984-03-10,346000.0
897,1984-03-17,349000.0
898,1984-03-24,346000.0
899,1984-03-31,341000.0
900,1984-04-07,381000.0
901,1984-04-14,357000.0
902,1984-04-21,364000.0
903,1984-04-28,375000.0
904,1984-05-05,365000.0
905,1984-05-12,368000.0
906,1984-05-19,354000.0
907,1984-05-26,354000.0
908,1984-06-02,355000.0
909,1984-06-09,369000.0
910,1984-06-16,361000.0
911,1984-06-23,362000.0
912,1984-06-30,360000.0
913,1984-07-07,366000.0
914,1984-07-14,360000.0
915,1984-07-21,357000.0
916,1984-07-28,359000.0
917,1984-08-04,382000.0
918,1984-08-11,380000.0
919,1984-08-18,401000.0
920,1984-08-25,395000.0
921,1984-09-01,385000.0
922,1984-09-08,402000.0
923,1984-09-15,393000.0
924,1984-09-22,395000.0
925,1984-09-29,402000.0
926,1984-10-06,403000.0
927,1984-10-13,410000.0
928,1984-10-20,439000.0
929,1984-10-27,425000.0
930,1984-11-03,423000.0
931,1984-11-10,393000.0
932,1984-11-17,383000.0
933,1984-11-24,429000.0
934,1984-12-01,401000.0
935,1984-12-08,383000.0
936,1984-12-15,386000.0
937,1984-12-22,379000.0
938,1984-12-29,379000.0
939,1985-01-05,369000.0
940,1985-01-12,387000.0
941,1985-01-19,359000.0
942,1985-01-26,368000.0
943,1985-02-02,386000.0
944,1985-02-09,401000.0
945,1985-02-16,390000.0
946,1985-02-23,390000.0
947,1985-03-02,374000.0
948,1985-03-09,385000.0
949,1985-03-16,386000.0
950,1985-03-23,373000.0
951,1985-03-30,386000.0
952,1985-04-06,405000.0
953,1985-04-13,411000.0
954,1985-04-20,391000.0
955,1985-04-27,386000.0
956,1985-05-04,390000.0
957,1985-05-11,394000.0
958,1985-05-18,391000.0
959,1985-05-25,396000.0
960,1985-06-01,393000.0
961,1985-06-08,403000.0
962,1985-06-15,390000.0
963,1985-06-22,386000.0
964,1985-06-29,390000.0
965,1985-07-06,395000.0
966,1985-07-13,386000.0
967,1985-07-20,370000.0
968,1985-07-27,362000.0
969,1985-08-03,407000.0
970,1985-08-10,402000.0
971,1985-08-17,399000.0
972,1985-08-24,405000.0
973,1985-08-31,409000.0
974,1985-09-07,426000.0
975,1985-09-14,408000.0
976,1985-09-21,401000.0
977,1985-09-28,399000.0
978,1985-10-05,405000.0
979,1985-10-12,400000.0
980,1985-10-19,400000.0
981,1985-10-26,418000.0
982,1985-11-02,398000.0
983,1985-11-09,397000.0
984,1985-11-16,397000.0
985,1985-11-23,382000.0
986,1985-11-30,393000.0
987,1985-12-07,399000.0
988,1985-12-14,382000.0
989,1985-12-21,370000.0
990,1985-12-28,390000.0
991,1986-01-04,362000.0
992,1986-01-11,397000.0
993,1986-01-18,364000.0
994,1986-01-25,344000.0
995,1986-02-01,364000.0
996,1986-02-08,366000.0
